text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
#balancetonporc https://t.co/wwSlE2Lbvf,FALSE,21,NA,2017-10-21 23:38:39,FALSE,NA,921883459454464000,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,claraslrd_,4,FALSE,FALSE,NA,NA
ahh #balancetonporc #mersalblockbuster #PetitsSeins #Baillon https://t.co/Dafop5AYNt,FALSE,0,NA,2017-10-21 23:35:21,FALSE,NA,921882628575330305,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,dele__official,0,FALSE,FALSE,NA,NA
#Balancetapute #Balancetonporc     
Quant ta nana se casse parce que t'as pas voulu lui prêter ta nouvelle caisse...������,FALSE,1,NA,2017-10-21 23:34:30,FALSE,NA,921882415135588352,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,KarimBordeaux,0,FALSE,FALSE,NA,NA
wow #inktober #balancetonporc #SalleDeBain #Domination https://t.co/wmYeLrm8y0,FALSE,0,NA,2017-10-21 23:33:36,FALSE,NA,921882188949475341,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,FareedIsme,0,FALSE,FALSE,NA,NA
#balancetonporc https://t.co/DGHLnAilwO,FALSE,0,NA,2017-10-21 23:31:59,FALSE,NA,921881782588465153,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,deboutcroises,3,FALSE,FALSE,NA,NA
"Publicly known #harassment settlements involving #BillOReilly have totaled about $45 million." #balancetonporc https://t.co/BJalGZgxWK,FALSE,0,NA,2017-10-21 23:31:58,FALSE,NA,921881780440924160,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,VPHedderel,0,FALSE,FALSE,NA,NA
Défendre plus harceleurs #balancetonporc que victimes, c'est ce qui autorise un Sapin, ministre, à passer au travers d'un #culottegate #ONPC,FALSE,1,NA,2017-10-21 23:30:41,FALSE,NA,921881457731211265,NA,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,canalguada,1,FALSE,FALSE,NA,NA
Les animaux n'y sont pour rien .l'image est dur pour eux, en voici quelques-uns heureux a la plage.#balancetonporc https://t.co/vVoFXuWtYP,FALSE,0,NA,2017-10-21 23:29:31,FALSE,NA,921881162548760576,NA,<a href="https://mobile.twitter.com" rel="nofollow">Twitter Lite</a>,univers4love,0,FALSE,FALSE,NA,NA
nous avons les notables les commandants de la Société qui pulvérisent #balancetonporc 

de TROLLS,FALSE,0,NA,2017-10-21 23:28:00,FALSE,NA,921880782561579009,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,FanchonF,0,FALSE,FALSE,NA,NA
#MoiAussi #MeToo "Il faut rappeler au monde entier que le corps d'une femme n'appartient qu'a elle." Alice Paquet @LeDevoir #BalanceTonPorc,FALSE,1,NA,2017-10-21 23:27:07,FALSE,NA,921880560313753600,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Carolicen,1,FALSE,FALSE,NA,NA
wow #1of1 #balancetonporc #Polonaise #Cousine https://t.co/zh0gghDDgv,FALSE,0,NA,2017-10-21 23:26:56,FALSE,NA,921880511013949440,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,lori155,0,FALSE,FALSE,NA,NA
wooow #sydvwel #balancetonporc #Portugaise #Allumeuse https://t.co/RZMJD5Wir1,FALSE,0,NA,2017-10-21 23:26:10,FALSE,NA,921880319971790848,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,shraddha_003,0,FALSE,FALSE,NA,NA
FJT, éducateur badge ouvre la porte de mn studio, jme cache cris que je ss nu de ps rentré ! Il rentre me regarde et sourit #balancetonporc,FALSE,0,NA,2017-10-21 23:25:37,FALSE,NA,921880181597528065,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Mzll_Master,0,FALSE,FALSE,NA,NA
Le hashtag #Balancetonporc, fait son chemin: l'islamologue Tariq Ramadan accusé à son tour de viol https://t.co/L5TtvWiNfI,FALSE,0,NA,2017-10-21 23:25:20,FALSE,NA,921880107559653376,NA,<a href="https://ifttt.com" rel="nofollow">IFTTT</a>,StopHaineux,0,FALSE,FALSE,NA,NA
Pas mal les tweets de #balancetonporc https://t.co/ahMtT70na1,FALSE,0,NA,2017-10-21 23:24:41,FALSE,NA,921879945277779968,NA,<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>,nimphedia,0,FALSE,FALSE,NA,NA
ahh #balancetonporc #twitterin4words #Sport #Bisexuel https://t.co/EvRC4BgcA3,FALSE,0,NA,2017-10-21 23:24:30,FALSE,NA,921879898926575616,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,beau_trim,0,FALSE,FALSE,NA,NA
envoyez les notables ! !! #Balancetonporc 

ça fait des DECENNIES que les Femmes perdent tous leurs droits 

FONCEZ ! 

virez-les !,FALSE,0,NA,2017-10-21 23:23:58,FALSE,NA,921879765715472385,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,FanchonF,0,FALSE,FALSE,NA,NA
wooow #balancetonporc #worldseries #Plage #FaitMaison https://t.co/lr0C2oJ7Jp,FALSE,0,NA,2017-10-21 23:23:38,FALSE,NA,921879680822796289,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,ThePerihelion,0,FALSE,FALSE,NA,NA
Le soutien des hommes par rapport au #BalanceTonPorc est décidément très minime. #ONPC,FALSE,5,NA,2017-10-21 23:23:22,FALSE,NA,921879614229762048,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,annathinks_,0,FALSE,FALSE,NA,NA
Mesdames ! 

et les filles 

ne vous arrêtez pas au commentaires 

la vilaine victime méchante #Balancetonporc FONCEZ !,FALSE,0,NA,2017-10-21 23:23:00,FALSE,NA,921879523196571648,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,FanchonF,0,FALSE,FALSE,NA,NA
"Il faut faire confiance à la justice" selon Jean-Michel Fauvergue. Wait and see. #BalanceTonPorc #ONPC https://t.co/wfeJWnVZOm,FALSE,0,JoBaudoin,2017-10-21 23:22:29,FALSE,921878393397923846,921879391130529793,1916756642,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,JoBaudoin,0,FALSE,FALSE,NA,NA
#ONPC #balancetonporc risque de dénonciations infondées, "les femmes doivent dénoncer, faire confiance à la justice" J-M.F,FALSE,6,NA,2017-10-21 23:22:05,FALSE,NA,921879291943628800,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,C1ndy9,2,FALSE,FALSE,NA,NA
THE MONSTERS - BLOW UM MAU MAU
#balancetonporc  https://t.co/vc0SnPRh9i,FALSE,0,NA,2017-10-21 23:21:21,FALSE,NA,921879107830501381,NA,<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>,renmazed,0,FALSE,FALSE,NA,NA
wow #feijóo #balancetonporc #Rasage #EpouseJaponaise https://t.co/5S3qgkLihn,FALSE,0,NA,2017-10-21 23:19:03,FALSE,NA,921878528383217664,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,yasithruberu,0,FALSE,FALSE,NA,NA
Les fesses, on les touche pas. Pour éviter d’avoir les mains sales.
#balancetonporc,FALSE,0,NA,2017-10-21 23:18:07,FALSE,NA,921878295473467393,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,blagueuse_92140,0,FALSE,FALSE,NA,NA
sur #balancetonporc y ont installé une porche qui fait TROLL 

