text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
#soutienpourSusie à 13 ans, intolérable acquittement #balancetonporc Le parquet ne peut pas en rester là.… https://t.co/oaWhAzMPhZ,FALSE,15,NA,2017-12-02 20:12:46,TRUE,NA,937051941036855296,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,absolurelatif20,14,FALSE,FALSE,NA,NA
@valgpromo @DamidotValerie Je pense qu'il le mérite son hastag #balancetonporc,FALSE,0,valgpromo,2017-12-02 20:02:53,FALSE,936877065835503622,937049451922972673,1031030191,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Brook_Blocks,0,FALSE,FALSE,NA,NA
Non au harcèlement !
#balancetonporc ou peut-être #balancetaporcinette ������
C'est tout simplement ahurissant ! https://t.co/o6Ka7XEQHj,FALSE,0,NA,2017-12-02 20:02:30,FALSE,NA,937049354136846336,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,PeterFlik,1,FALSE,FALSE,NA,NA
Pas simple d’être nuancé ou d’être réservé à la télé. Dans un débat , il n’est plus permis que de dire oui/non , mé… https://t.co/ijr0yyRvyy,FALSE,0,NA,2017-12-02 19:59:21,TRUE,NA,937048560855670784,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Topht301,0,FALSE,FALSE,NA,NA
#BalanceHazizaLePorc  #balancetonporc #Haziza https://t.co/Ja77jYXT2K,FALSE,1,NA,2017-12-02 19:47:22,FALSE,NA,937045545423659008,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Libertyegality,0,FALSE,FALSE,NA,NA
@duc_dracquo C'est bien vrai ça, qu'ils soient dans le monde politique ou dans le monde artistique et mondain, ils… https://t.co/ipsElp5cx1,FALSE,0,duc_dracquo,2017-12-02 19:36:10,TRUE,937031158679982080,937042729565130752,4172438675,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,RedneckFr,0,FALSE,FALSE,NA,NA
@RizqProject @bazinlin2reus @EricNaulleau À l'immense difficulté à porter plainte, du fait en particulier de ce str… https://t.co/sbGWjfbJgj,FALSE,0,gridindriing,2017-12-02 19:35:37,TRUE,937040043646095360,937042591111172097,2835136383,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,gridindriing,0,FALSE,FALSE,NA,NA
https://t.co/z2DRQM0nNs 30s pour répondre, merci d'avance ! #balancetonporc #harcelement #rue,FALSE,0,NA,2017-12-02 19:34:56,FALSE,NA,937042416409997312,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,ClaireDuss,0,FALSE,FALSE,NA,NA
C'est le patriarcat qui a permis de rendre certains pays riches et puissants. Pouvez-vous prouvez le contraire ?… https://t.co/L5eDna1QhI,FALSE,0,NA,2017-12-02 19:32:26,TRUE,NA,937041788497473538,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Pleurez,0,FALSE,FALSE,NA,NA
https://t.co/jxOGVZkqyc @LettreAudio #balancetonporc,FALSE,0,NA,2017-12-02 19:28:57,FALSE,NA,937040911720177664,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,laurent_johnny,0,FALSE,FALSE,NA,NA
@benico007 @JLMelenchon Oh oui je te confirme, c'était un supplice !!!!
Juste avant, il nous fait son beau gosse su… https://t.co/4giQOlcfFx,FALSE,5,benico007,2017-12-02 19:25:11,TRUE,937037492771065857,937039966227648514,822751100386365440,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Chatokla,2,FALSE,FALSE,NA,NA
@frhaz @partisocialiste @RachidTemal Supprime à ton compte espece d ordure aux gestes « déplacés ». #balancetonporc,FALSE,0,frhaz,2017-12-02 19:24:46,FALSE,936618784886018050,937039858761129986,111816507,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,rachon_dz,0,FALSE,FALSE,NA,NA
