text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
#balancetonporc,FALSE,0,haikatte,2017-12-06 11:43:44,FALSE,938342925917937664,938373387038142469,67003730,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,kawakaboom,0,FALSE,FALSE,NA,NA
#balancetonporc https://t.co/njjpbSC0tY #JohnnyHallyday RIP Johnny (via @LaParisienne)
#pédophilie
#viol
#hommagenational,FALSE,0,NA,2017-12-06 11:35:23,FALSE,NA,938371287461847041,NA,<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>,kawakaboom,0,FALSE,FALSE,NA,NA
Quand tu te fais harceler par des gay qui ne savent pas lire et qui insiste malgré que je leur dis que je suis 100… https://t.co/0ygum3tns5,FALSE,0,NA,2017-12-06 11:34:14,TRUE,NA,938370995957780480,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,BoysEscorte,0,FALSE,FALSE,NA,NA
#balancetonporc https://t.co/Kx9gAit9uL,FALSE,2,NA,2017-12-06 11:25:02,FALSE,NA,938368683793113088,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,SnowBlanche,2,FALSE,FALSE,NA,NA
ok les gars juste
c'est pas parce qu'on regarde/aime FSOG (50 nuance de Grey pour les plus cons)  et qu'on tweet su… https://t.co/T0KcRlADW4,FALSE,0,NA,2017-12-06 11:17:16,TRUE,NA,938366728169500672,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,missropotter,0,FALSE,FALSE,NA,NA
@F_Desouche #balanceTonPorc !!,FALSE,0,F_Desouche,2017-12-06 11:15:54,FALSE,938364576101318656,938366382558908416,92849144,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,CosmoPolype,0,FALSE,FALSE,NA,NA
@FloHeyNo @Chaos_Be @JMichelDlx @francois_bellot @FrancoisBELLOT #balancetonporc ?,FALSE,0,FloHeyNo,2017-12-06 11:07:01,FALSE,938364021333479424,938364149154942976,520385106,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,La_Farce,0,FALSE,FALSE,NA,NA
Il s'est laissé mourir par peur d'être accusé de viol par une inconnue comme les autres mdrrr #balancetonporc,FALSE,0,NA,2017-12-06 11:02:07,FALSE,NA,938362913563267072,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,allanhef,0,FALSE,FALSE,NA,NA
Un élu de #Guyane au coeur d’une accusation d’#agressionSexuelle https://t.co/nWGikcvqKp
#balancetonporc #viol… https://t.co/LUnsDt1uaB,FALSE,0,NA,2017-12-06 10:51:19,TRUE,NA,938360195352231936,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Bondamanjak,1,FALSE,FALSE,NA,NA
@missmanoushka @terrycrews @radar_online @NatEnquirer @GMA Love to @terrycrews and Martin Luther King. Hope followe… https://t.co/ESWhzhHLjB,FALSE,1,missmanoushka,2017-12-06 10:38:08,TRUE,938223149161832448,938356881168400384,782297133420515328,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Shonah25,0,FALSE,FALSE,NA,NA
: On écoute les féministes. Très attentivement.
Et puis on pense à Landru.
Et on rigole un peu.… https://t.co/m8P1Y0Ch3c,FALSE,0,NA,2017-12-06 10:24:17,TRUE,NA,938353395198496768,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,leflashbic,0,FALSE,FALSE,NA,NA
ATTENDONS CONTACT en MP pour CONCILIATION ET RENSEIGNEMENTS , MERCI A TOUS #balancetonporc,FALSE,0,NA,2017-12-06 10:17:33,FALSE,NA,938351697516269568,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,LaetitiaCaro2,0,FALSE,FALSE,NA,NA
Johnny Hallyday #balancetonporc,FALSE,0,NA,2017-12-06 10:12:38,FALSE,NA,938350463807868928,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,PralineMenthe,0,FALSE,FALSE,NA,NA
Anny Duperey sur #BalanceTonPorc: "J’ai connu un porc, un grand nom du cinéma français" https://t.co/V8T4NSIi3f,FALSE,0,NA,2017-12-06 10:11:21,FALSE,NA,938350140997369857,NA,<a href="https://ifttt.com" rel="nofollow">IFTTT</a>,razki030775,0,FALSE,FALSE,NA,NA
